"1";"Propranolol 10mg (Inderal 10mg) Tablets ";NULL;"361";"chronic"
"2";"Propranolol 40mg (Inderal 40mg) Tablets ";NULL;"361";"chronic"
"3";"Diltiazem 60mg (Tildiem 60mg) Tablets";NULL;"361";"chronic"
"4";"Isosorbide Dinitrate 5mg (Isordil 5mg) Tablets ";NULL;"361";"chronic"
"5";"Isosorbide Dinitrate 10mg (Isordil 10mg) Tablets ";NULL;"361";"chronic"
"6";"Isosorbide Dinitrate 20mg (Isordil 20mg) Tablets ";NULL;"361";"chronic"
"7";"Nifedipine 20mg Retard (Adalat 20mg) Tablets ";NULL;"361";"chronic"
"8";"Amiodarone 200mg( Cordarone200) Tablets ";NULL;"361";"chronic"
"9";"Verapamil 80mg (Isoptine80mg Tablets ";NULL;"361";"chronic"
"10";"Atenolol 50mg (Tenormine 50mg) Tablets ";NULL;"361";"chronic"
"11";"Atenolol 100mg (Tenormine 100mg) Tablets ";NULL;"361";"chronic"
"12";"Captopril 50mg (Capoten 50mg) Tablets ";NULL;"361";"chronic"
"13";"Methyldopa 250mg (Aldomet) Tablets ";NULL;"361";"chronic"
"14";"Digoxin 0.25mg (Lanoxin )Tablets ";NULL;"361";"chronic"
"15";"Dipyridamol 75mg (Persantine 75mg) Tablets ";NULL;"361";"chronic"
"16";"Acenocoumarol 4mg( Sintrom) Tablets ";NULL;"361";"chronic"
"17";"Ticlopidine 250mg( Ticlid )Tablets";NULL;"361";"chronic"
"18";"Amlodipine 5mg (Amlor 5) Tablets";NULL;"361";"chronic"
"19";"Molsidomine 2mg (Corvasal2 )Tablets";NULL;"361";"chronic"
"20";"Molsidomine 4mg (Corvasal4) Tablets";NULL;"361";"chronic"
"21";"Bisoprolol Fumarate 5mg (Concor5 )Tablets ";NULL;"361";"chronic"
"22";"Quinapril 20mg (Acuitel20) Tablets ";NULL;"361";"chronic"
"23";"Lisinopril 10mg( Zestril10) Tablets ";NULL;"361";"chronic"
"24";"acetylsalicylic acid 100mg tab";NULL;"361";"chronic"
"25";"Furosemide 40mg( Lasix 40)Tablets ";NULL;"361";"chronic"
"26";"Indapamide1.5mg ( Natrilix) Tablets ";NULL;"361";"chronic"
"27";"Spironolactone 25mg ( Aldactone 25) Tablets ";NULL;"361";"chronic"
"28";"Amiloride/Htz 5/50mg ( Moduretic ) Tablets ";NULL;"361";"chronic"
"29";"Albendazole 100mg";NULL;"361";"non chronic"
"30";"Glibenclamide 5mg ( Daonil ) Tablets ";NULL;"361";"chronic"
"31";"Gliclazid 80mg ( Diamicron80) Tablets ";NULL;"361";"chronic"
"32";"Metformin 850mg ( Glucophage ) Tablets ";NULL;"361";"chronic"
"33";"Glucophage 500 Mg ( Glucophage) Tablets ";NULL;"361";"chronic"
"34";"Glimepiride 4mgAmaryl 4mg Tablets 41190";NULL;"361";"chronic"
"35";"Metformin 1000mg ( Glucophage retard ) Tablets ";NULL;"361";"chronic"
"36";"Glimepiride 2mg (Amaryl 2) Tablets ";NULL;"361";"chronic"
"37";"Glimepiride 3mg (Amaryl 3) Tablets";NULL;"361";"chronic"
"38";"Glimepiride 1mg (amaryl 1) Tablets";NULL;"361";"chronic"
"39";"Antipsychotics";NULL;"361";"chronic"
"40";"Metformin 1000 mg tb XR";NULL;"361";"chronic"
"41";"Metformin 750 mg tb XR";NULL;"361";"chronic"
"42";"Metformin500 mg tb XR";NULL;"361";"chronic"
"43";"Furosemide 40mg tab";NULL;"361";"chronic"
"44";"Haloperidol 5mg ( Haldol 5) Tablets ";NULL;"361";"chronic"
"45";"Chlorpromazine 50mg( Largactil 50) Tablets ";NULL;"361";"chronic"
"46";"Chlorpromazine 100mg (Largactil 100) Tablets ";NULL;"361";"chronic"
"47";"Antiepileptic – Antiparkinson";NULL;"361";"chronic"
